Gene,P-Value,q-value,Fold Change,DEGs
ENSG00000266019.1,5.17132488780193e-123,1.77542365061864e-122,3.7032629144339255,UP
ENSG00000252010.1,1.0877433224652012e-117,3.434321626612289e-117,3.4780161631343254,UP
ENSG00000238741.1,4.394120622735335e-125,1.5571948083147126e-124,3.4014447998793838,UP
ENSG00000202538.1,2.757953744590147e-106,7.450267974089297e-106,3.394205329062542,UP
ENSG00000207008.1,6.849315737591884e-131,2.6454520053901235e-130,3.273017306920794,UP
ENSG00000252835.1,1.7218752052072887e-112,5.03740086629792e-112,3.1639341972878245,UP
ENSG00000212232.1,2.329721990035785e-112,6.801205384924001e-112,3.0107020483052453,UP
ENSG00000208892.1,8.14127886895894e-120,2.671660726687003e-119,2.9867974839814515,UP
ENSG00000199482.1,0.0,1e-320,2.967837232599745,UP
ENSG00000200156.1,1.1370294801052765e-114,3.4210405583036215e-114,2.8858794269689843,UP
ENSG00000201098.1,4.025754686907924e-110,1.134305880020163e-109,2.8710735748477543,UP
ENSG00000168484.12,1.0994125747136008e-90,2.460036273769245e-90,2.824204261411013,UP
ENSG00000200795.1,4.177985159363799e-92,9.519021696976344e-92,2.821501303178021,UP
ENSG00000207258.1,0.0,1e-320,2.8084292404838607,UP
ENSG00000239039.1,1.7725571107217462e-112,5.180161588187887e-112,2.738378493934476,UP
ENSG00000251791.1,1.4833356720161915e-117,4.667246107602433e-117,2.7358775093046708,UP
ENSG00000205420.11,1.9594793547605843e-72,3.5756922532127447e-72,-2.7085620651825817,DOWN
ENSG00000143320.9,1.5478574209398498e-198,2.0366545012366446e-197,-2.6343915190680676,DOWN
ENSG00000200087.1,7.568326033924902e-85,1.5684172263220408e-84,2.591055253233516,UP
ENSG00000199568.1,2.803608231513658e-98,6.822940386427044e-98,2.5763399913952822,UP
ENSG00000212464.1,3.4611075344410003e-106,9.331417372267402e-106,2.5368277507383103,UP
ENSG00000265527.1,1.717171991878988e-176,1.4096187993036471e-175,2.524251172879021,UP
ENSG00000230322.1,3.868495374716421e-211,6.863459535787199e-210,2.5240263397024236,UP
